y,x,class
1.1871842198229565e-41,1.187184219823126e-41,no_correction
1.9429858350073e-49,1.9429858350073e-49,no_correction
3.242966037153698e-39,3.242966037153929e-39,no_correction
1.5183241936742798e-37,1.5183241936741932e-37,no_correction
1.8670167695093766e-46,1.8670167695093766e-46,no_correction
2.1803474023468422e-44,2.180347402346624e-44,no_correction
4.4070398579647985e-42,4.4070398579647985e-42,no_correction
1.2264592797204837e-45,1.2264592797204486e-45,no_correction
6.358018462395965e-44,6.358018462395965e-44,no_correction
4.09128784531791e-45,4.091287845317385e-45,no_correction
3.0605663393434215e-42,3.0605663393434215e-42,no_correction
6.18491922727617e-45,6.184919227276434e-45,no_correction
8.06790690286225e-44,8.067906902861557e-44,no_correction
7.914905783417073e-52,7.914905783417748e-52,no_correction
2.7134478269801323e-44,2.713447826980365e-44,no_correction
1.2137262109569528e-41,1.2137262109569528e-41,no_correction
6.051488620783973e-36,6.051488620783799e-36,no_correction
1.7349790635602536e-42,1.734979063560204e-42,no_correction
3.118317818191113e-47,3.118317818191113e-47,no_correction
1.073851532513442e-38,1.073851532513442e-38,no_correction
1.45314332346729e-41,1.4531433234673317e-41,no_correction
3.7291291888458772e-44,3.729129188846675e-44,no_correction
1.2264932521300878e-46,1.2264932521301403e-46,no_correction
1.5006882449292186e-43,1.5006882449291542e-43,no_correction
7.66119854868479e-34,7.661198548684571e-34,no_correction
1.469693930436493e-40,1.4696939304363457e-40,no_correction
4.638870534242155e-48,4.638870534241758e-48,no_correction
2.2280206125630435e-51,2.228020612562757e-51,no_correction
5.3927689583881183e-45,5.3927689583878084e-45,no_correction
1.5651607933057588e-39,1.5651607933056922e-39,no_correction
5.283266767744779e-38,5.283266767745157e-38,no_correction
7.6412391585034e-55,7.64123915850307e-55,no_correction
4.828344143495302e-44,4.828344143495094e-44,no_correction
2.631359877770486e-49,2.631359877770598e-49,no_correction
9.575951804785494e-47,9.575951804784675e-47,no_correction
1.789590387830001e-40,1.789590387830001e-40,no_correction
2.1746886102957867e-52,2.1746886102959105e-52,no_correction
1.2071767766176754e-42,1.207176776617624e-42,no_correction
5.944427408849579e-43,5.9444274088498335e-43,no_correction
3.157356389260085e-45,3.157356389259544e-45,no_correction
1.0053175286009589e-47,1.0053175286009158e-47,no_correction
3.903566162321034e-49,3.9035661623206445e-49,no_correction
7.850405237170078e-46,7.850405237171198e-46,no_correction
4.561888478072976e-43,4.561888478072455e-43,no_correction
4.1637725729826323e-38,4.1637725729826323e-38,no_correction
2.1809160985752706e-47,2.1809160985751772e-47,no_correction
6.597914967446454e-49,6.597914967446736e-49,no_correction
1.5615514616221834e-47,1.5615514616221834e-47,no_correction
5.655418018615124e-43,5.655418018615124e-43,no_correction
8.220190720766591e-45,8.220190720766242e-45,no_correction
1.4540567707596663e-48,1.4540567707596663e-48,no_correction
1.568987784399842e-41,1.568987784399842e-41,no_correction
2.1213308708879763e-35,2.1213308708880372e-35,no_correction
7.608996246381936e-45,7.608996246382261e-45,no_correction
7.208217145787974e-45,7.208217145788589e-45,no_correction
3.5979457513902888e-40,3.597945751390546e-40,no_correction
4.686559932251175e-45,4.686559932251175e-45,no_correction
