y,x,class
6.126235034752762,6.130167816042173,no_correction
6.3513131174965,6.566737591846058,no_correction
6.059079743424381,6.108393402921304,no_correction
5.788375856654196,5.905161614784765,no_correction
5.860687012591252,5.875342405661631,no_correction
6.585475610193736,6.671978716216117,no_correction
6.109571034554887,6.0736785685427295,no_correction
6.041288826925518,6.054358341386101,no_correction
6.155369139479756,6.2392043108163495,no_correction
6.120702859278494,6.161913326237676,no_correction
6.212286246050772,6.3697016950744265,no_correction
6.06745143846408,6.171398309395408,no_correction
6.262876184880171,6.408808452705384,no_correction
6.231277870633563,6.320871226171166,no_correction
5.96479690442311,6.044962745919788,no_correction
6.375679853031213,6.291194462816477,no_correction
6.054032171810865,6.06976675336727,no_correction
6.753133214470055,6.778470694528147,no_correction
6.9420790982541085,7.0360086016369285,no_correction
5.758943368001461,5.798864399598832,no_correction
6.25257276158732,6.414760281091965,no_correction
6.44355322278731,6.748116227527194,no_correction
5.9310921454953265,5.902607807862912,no_correction
6.030799754087755,5.9572008255517375,no_correction
6.256183194143225,6.402714262334344,no_correction
6.6512847492519045,6.754562600288983,no_correction
6.116663232735025,6.393949301153612,no_correction
6.314931940232652,6.469255618059401,no_correction
6.82480567064288,6.840607109857879,no_correction
6.261703407499131,6.337509050813399,no_correction
6.5208531566799675,6.495691006741577,no_correction
6.35395214906439,6.53297924116453,no_correction
6.223097244989918,6.405663109644084,no_correction
6.4721851053416195,6.530677259344108,no_correction
6.044183224497514,6.033643510469368,no_correction
6.7911750469062815,6.951663862403322,no_correction
6.084481777274297,6.068570753938738,no_correction
6.2411339597286215,6.376018411238524,no_correction
6.503022896808267,6.451048562715608,no_correction
6.436974224260997,6.613196545148465,no_correction
6.172213384025127,6.271113956382501,no_correction
6.142783422021714,6.240856085992597,no_correction
5.96986672530417,5.959614620691645,no_correction
5.864905530555576,5.900817684549936,no_correction
5.990709203419128,6.007851422948583,no_correction
6.361771406992518,6.461574735437156,no_correction
6.616416630799479,6.662767896296614,no_correction
6.464251459172966,6.528752075329946,no_correction
6.132487699669037,6.14150788092009,no_correction
6.193591517491393,6.2748203421610995,no_correction
6.3068808194289305,6.372879427720799,no_correction
5.795254214545441,5.791830635211349,no_correction
6.3430723016575445,6.390483194813726,no_correction
6.182440663714786,6.105824521286264,no_correction
6.527400497817701,6.618229161130813,no_correction
6.260888105557035,6.4517194166144725,no_correction
5.898707778760574,5.981465408934462,no_correction
5.95084242969324,6.031623714511546,no_correction
6.5914408812938,6.5210085844592935,no_correction
6.198506604549896,6.309553288846631,no_correction
6.055612081103059,6.253464173912041,no_correction
6.115413979932509,6.279098756987274,no_correction
6.701343797772982,6.787936265146579,no_correction
6.463981876132529,6.673194045006364,no_correction
5.945091103496798,6.126773891390149,no_correction
6.637497056877434,6.555027686938121,no_correction
6.5102080449513045,6.844896963568371,no_correction
6.428353933281666,6.324540943961221,no_correction
5.800181179450697,5.915199819746035,no_correction
6.112681276842515,6.235716676139681,no_correction
6.224839764744029,6.187917602990462,no_correction
6.616427862540548,6.601969118339929,no_correction
5.8930126881387,5.919540928331186,no_correction
6.323778922337475,6.2318715981102,no_correction
6.5058362684059645,6.433692686410334,no_correction
6.1379164055835105,6.158518399539263,no_correction
6.446488386945918,6.423640498507813,no_correction
6.489985651278162,6.495762674956648,no_correction
5.855539995008764,5.835741783016302,no_correction
6.354019517473568,6.508602037407942,no_correction
6.201871842438748,6.14334188120762,no_correction
5.938095523230831,5.993195632400659,no_correction
6.354957773243014,6.547963723746126,no_correction
6.453509865244689,6.45111504001446,no_correction
6.33624000515877,6.419859249890406,no_correction
5.989478742565234,6.098504915668409,no_correction
6.353621771743059,6.5377801978960255,no_correction
6.429881716156919,6.6093243669112764,no_correction
6.027126563789088,6.064029291786822,no_correction
